@relation celebs.arff

@attribute parens numeric
@attribute avg_tok_lens numeric
@attribute wh_words numeric
@attribute slangs numeric
@attribute numSents numeric
@attribute commas numeric
@attribute prop_nouns numeric
@attribute comm_nouns numeric
@attribute avg_sent_lens numeric
@attribute third_person_prns numeric
@attribute conjs numeric
@attribute caps numeric
@attribute sec_person_prns numeric
@attribute adverbs numeric
@attribute ellipses numeric
@attribute cols_semicols numeric
@attribute future_verbs numeric
@attribute past_verbs numeric
@attribute dashes numeric
@attribute first_person_prns numeric
@attribute twit {StephenAtHome_out.twt,aplusk_out.twt,shakira_out.twt,BarackObama_out.twt,neiltyson_out.twt,KimKardashian_out.twt}

@data
0,3.73684210526,0,0,1,1,0,5,20.0,1,0,0,0,2,0,0,0,0,0,0,StephenAtHome_out.twt
0,4.3125,0,0,2,2,0,6,9.5,1,0,0,0,0,0,0,0,0,0,0,StephenAtHome_out.twt
0,3.71428571429,0,0,1,0,2,3,22.0,1,0,0,0,0,0,0,0,0,0,0,StephenAtHome_out.twt
0,5.45454545455,1,0,1,0,0,2,11.0,0,0,0,0,1,0,0,0,0,0,0,StephenAtHome_out.twt
0,3.95,1,0,1,0,0,4,20.0,0,0,0,0,0,0,0,0,0,0,0,StephenAtHome_out.twt
0,4.76470588235,0,0,1,0,0,8,20.0,0,0,0,0,0,1,1,0,0,0,0,StephenAtHome_out.twt
0,3.21428571429,0,0,2,1,0,11,15.0,1,0,0,0,1,0,0,0,0,0,0,StephenAtHome_out.twt
0,4.4,0,0,2,0,0,8,13.5,0,0,0,0,1,0,0,0,0,0,2,StephenAtHome_out.twt
0,4.34782608696,1,0,2,0,0,15,13.5,0,0,0,0,0,0,0,0,0,0,0,StephenAtHome_out.twt
0,4.52941176471,0,0,2,0,0,7,9.0,0,0,0,0,0,0,0,0,0,0,1,StephenAtHome_out.twt
0,4.09523809524,1,0,2,2,1,6,12.0,0,0,0,0,1,0,0,0,0,0,3,StephenAtHome_out.twt
0,4.35294117647,0,0,2,0,0,5,9.0,0,0,0,0,0,0,0,0,3,0,0,StephenAtHome_out.twt
0,4.55,0,0,2,2,0,10,11.5,0,0,0,1,2,0,0,0,0,0,0,StephenAtHome_out.twt
0,3.90909090909,0,0,1,0,0,2,11.0,0,0,0,0,1,0,0,0,0,0,0,StephenAtHome_out.twt
0,5.14285714286,0,0,1,0,0,3,8.0,0,0,0,0,0,1,1,0,0,0,0,StephenAtHome_out.twt
0,3.04761904762,0,0,2,0,0,8,11.0,2,0,0,0,0,0,0,0,0,0,0,StephenAtHome_out.twt
0,3.06666666667,1,0,2,0,1,9,15.5,1,0,0,0,1,0,0,0,0,0,0,StephenAtHome_out.twt
0,4.66666666667,0,0,1,1,0,9,21.0,0,0,1,2,1,0,0,0,0,0,0,StephenAtHome_out.twt
0,3.86666666667,0,0,2,1,0,4,8.5,0,0,0,0,1,0,0,0,1,0,1,StephenAtHome_out.twt
0,4.9375,0,0,2,0,0,5,8.5,0,0,0,0,0,0,0,0,1,0,2,StephenAtHome_out.twt
0,3.52631578947,0,0,1,1,0,5,20.0,2,0,0,0,0,0,0,0,1,0,1,StephenAtHome_out.twt
0,3.7,0,0,1,1,2,6,22.0,0,0,0,0,2,0,0,0,0,0,1,StephenAtHome_out.twt
0,3.0,1,0,1,0,0,2,12.0,0,0,0,0,0,0,0,0,0,0,1,StephenAtHome_out.twt
0,3.2962962963,0,0,2,1,0,18,14.5,0,0,0,0,0,0,0,0,0,0,0,StephenAtHome_out.twt
