@relation cnncbc.arff

@attribute parens numeric
@attribute avg_tok_lens numeric
@attribute wh_words numeric
@attribute slangs numeric
@attribute numSents numeric
@attribute commas numeric
@attribute prop_nouns numeric
@attribute comm_nouns numeric
@attribute avg_sent_lens numeric
@attribute third_person_prns numeric
@attribute conjs numeric
@attribute caps numeric
@attribute sec_person_prns numeric
@attribute adverbs numeric
@attribute ellipses numeric
@attribute cols_semicols numeric
@attribute future_verbs numeric
@attribute past_verbs numeric
@attribute dashes numeric
@attribute first_person_prns numeric
@attribute twit {CBCNews_out.twt,cnn_out.twt}

@data
0,4.81818181818,0,0,1,0,4,5,12.0,0,0,0,0,0,0,0,0,0,0,0,CBCNews_out.twt
0,5.0,0,0,1,0,2,2,7.0,0,0,0,0,0,0,0,0,0,0,0,CBCNews_out.twt
0,4.54545454545,0,0,1,0,1,5,12.0,0,0,0,0,0,0,0,0,0,0,0,CBCNews_out.twt
0,4.28571428571,0,0,3,0,6,8,8.0,0,0,0,0,0,0,0,0,1,0,0,CBCNews_out.twt
0,5.57142857143,0,0,1,0,2,3,7.0,0,0,0,0,0,0,0,0,0,0,0,CBCNews_out.twt
0,5.0,0,0,1,1,3,5,16.0,0,0,1,0,0,1,1,0,0,0,0,CBCNews_out.twt
0,6.0,0,0,1,1,0,4,10.0,0,0,0,0,0,0,0,0,0,0,0,CBCNews_out.twt
0,5.0,0,0,1,0,0,4,10.0,0,0,0,0,0,0,0,0,0,0,0,CBCNews_out.twt
0,6.2,0,0,1,0,2,3,13.0,0,0,0,0,0,0,0,0,0,0,0,CBCNews_out.twt
0,4.55555555556,0,0,1,0,2,1,10.0,0,0,1,0,0,1,1,0,0,0,0,CBCNews_out.twt
0,4.9,0,0,1,1,3,4,12.0,0,0,0,0,0,0,0,0,0,0,0,CBCNews_out.twt
0,5.31578947368,0,0,3,0,3,13,7.66666666667,0,0,1,0,2,1,1,0,0,0,0,CBCNews_out.twt
0,6.0,0,0,1,0,1,4,8.0,0,0,0,0,0,0,0,0,0,0,0,CBCNews_out.twt
0,3.63157894737,0,0,1,1,2,5,25.0,0,0,1,0,0,1,1,0,0,0,0,CBCNews_out.twt
0,4.85714285714,0,0,1,0,3,1,8.0,0,0,0,0,1,0,0,0,0,0,0,CBCNews_out.twt
0,6.0,0,0,1,0,1,4,8.0,0,0,0,0,0,0,0,0,0,0,0,CBCNews_out.twt
0,5.125,0,0,1,0,1,3,9.0,0,0,0,0,1,0,0,0,0,0,0,CBCNews_out.twt
0,5.33333333333,0,0,1,0,1,3,9.0,0,0,0,0,0,0,0,0,0,0,0,CBCNews_out.twt
0,5.11111111111,0,0,1,0,1,6,10.0,0,0,0,0,0,0,0,0,0,0,0,CBCNews_out.twt
0,5.42857142857,0,0,1,0,0,2,8.0,0,0,0,0,0,0,0,0,0,0,0,CBCNews_out.twt
0,7.4,0,0,1,0,0,1,5.0,0,0,0,0,1,0,0,0,0,0,0,CBCNews_out.twt
0,5.4,0,0,1,0,1,1,5.0,0,0,0,0,0,0,0,0,0,0,0,CBCNews_out.twt
0,4.71428571429,0,0,1,1,1,2,8.0,0,0,0,0,0,0,0,0,0,0,0,CBCNews_out.twt
0,5.5,0,0,1,0,3,4,9.0,0,0,1,0,0,0,0,0,0,0,0,CBCNews_out.twt
0,6.83333333333,0,0,1,0,1,3,7.0,0,0,0,0,0,0,0,0,0,0,0,CBCNews_out.twt
0,4.2,0,0,1,1,1,5,12.0,0,0,1,0,0,0,0,0,1,0,0,CBCNews_out.twt
0,6.42857142857,0,0,1,0,1,5,8.0,0,0,1,0,0,0,0,0,0,0,0,CBCNews_out.twt
0,5.125,0,0,1,1,2,3,9.0,0,0,0,0,0,0,0,0,0,0,0,CBCNews_out.twt
0,4.375,0,0,1,0,3,2,9.0,0,0,0,0,0,0,0,0,0,0,0,CBCNews_out.twt
0,7.2,0,0,1,0,0,4,6.0,0,0,0,0,0,0,0,0,0,0,0,CBCNews_out.twt
0,5.0,0,0,3,0,0,13,7.0,0,0,0,0,1,0,0,0,0,0,0,CBCNews_out.twt
0,5.66666666667,0,0,1,0,0,3,7.0,0,0,0,0,0,0,0,0,0,0,0,CBCNews_out.twt
0,6.0,0,0,1,0,3,3,9.0,0,0,0,0,0,0,0,0,0,0,0,CBCNews_out.twt
0,5.375,0,0,1,0,2,1,8.0,1,0,0,0,0,0,0,0,0,0,0,CBCNews_out.twt
0,4.85714285714,0,0,1,0,0,2,7.0,0,0,0,0,0,0,0,0,0,0,0,CBCNews_out.twt
0,6.28571428571,0,0,1,1,1,4,8.0,0,0,0,0,0,0,0,0,0,0,0,CBCNews_out.twt
0,4.33333333333,0,0,1,0,2,5,13.0,0,0,0,0,0,0,0,0,1,0,0,CBCNews_out.twt
0,4.75,0,0,1,0,0,4,8.0,0,0,0,0,1,0,0,0,0,0,0,CBCNews_out.twt
0,4.5,0,0,1,0,1,3,9.0,0,0,0,0,0,0,0,1,0,0,0,CBCNews_out.twt
0,4.46666666667,0,0,1,1,5,6,19.0,0,0,0,0,0,2,1,0,0,0,0,CBCNews_out.twt
0,5.28571428571,0,0,2,0,1,4,4.5,0,0,0,0,0,0,0,0,0,0,0,CBCNews_out.twt
0,6.25,0,0,1,0,3,3,9.0,0,0,0,0,0,0,0,0,0,0,0,CBCNews_out.twt
0,5.5,0,0,1,0,0,5,12.0,0,0,0,0,0,1,1,0,0,0,0,CBCNews_out.twt
0,6.25,0,0,1,0,1,4,9.0,0,0,0,0,0,0,0,0,0,0,0,CBCNews_out.twt
0,4.9,0,0,1,0,1,5,11.0,0,0,0,0,0,0,0,0,0,0,0,CBCNews_out.twt
