@relation popstars.arff

@attribute parens numeric
@attribute avg_tok_lens numeric
@attribute wh_words numeric
@attribute slangs numeric
@attribute numSents numeric
@attribute commas numeric
@attribute prop_nouns numeric
@attribute comm_nouns numeric
@attribute avg_sent_lens numeric
@attribute third_person_prns numeric
@attribute conjs numeric
@attribute caps numeric
@attribute sec_person_prns numeric
@attribute adverbs numeric
@attribute ellipses numeric
@attribute cols_semicols numeric
@attribute future_verbs numeric
@attribute past_verbs numeric
@attribute dashes numeric
@attribute first_person_prns numeric
@attribute twit {britneyspears_out.twt,justinbieber_out.twt,rihanna_out.twt,ladygaga_out.twt,katyperry_out.twt,taylorswift13_out.twt}

@data
0,4.23076923077,0,0,4,0,1,7,7.5,0,0,1,2,4,0,0,0,1,0,4,britneyspears_out.twt
0,4.57142857143,0,0,1,0,2,5,23.0,0,0,2,1,1,1,1,0,0,0,0,britneyspears_out.twt
0,4.84615384615,0,0,2,0,1,4,7.5,2,0,0,0,1,0,0,0,0,0,0,britneyspears_out.twt
0,4.31578947368,0,0,3,0,2,9,8.0,0,0,1,1,0,0,0,0,0,0,1,britneyspears_out.twt
0,3.7,0,0,3,0,3,13,11.0,0,0,1,0,1,0,0,0,2,0,2,britneyspears_out.twt
0,3.53125,0,0,2,3,4,13,18.5,0,0,1,2,4,1,1,0,0,0,2,britneyspears_out.twt
0,3.75862068966,0,0,2,2,1,10,17.0,1,0,1,2,2,1,1,0,1,0,2,britneyspears_out.twt
1,3.6875,0,0,1,1,4,6,19.0,0,0,0,0,0,0,0,0,0,0,0,britneyspears_out.twt
0,4.86666666667,0,0,1,0,4,2,16.0,0,0,0,0,0,0,0,0,1,0,0,britneyspears_out.twt
0,3.42857142857,0,0,2,0,1,4,8.0,0,0,1,1,1,0,0,0,0,0,1,britneyspears_out.twt
0,3.27586206897,0,0,2,1,1,13,16.5,0,0,1,2,2,1,1,0,0,0,3,britneyspears_out.twt
0,4.90909090909,0,0,2,0,4,11,13.5,1,0,1,0,1,0,0,0,1,0,0,britneyspears_out.twt
0,4.95652173913,0,0,1,0,3,10,26.0,0,0,9,3,1,0,0,0,0,0,2,britneyspears_out.twt
0,5.5625,0,0,1,0,0,5,18.0,0,0,0,1,1,1,0,0,0,0,1,britneyspears_out.twt
1,4.66666666667,1,0,1,0,3,8,30.0,0,0,1,1,0,3,2,0,1,0,1,britneyspears_out.twt
