@relation asd.arff

@attribute parens numeric
@attribute avg_tok_lens numeric
@attribute wh_words numeric
@attribute slangs numeric
@attribute numSents numeric
@attribute commas numeric
@attribute prop_nouns numeric
@attribute comm_nouns numeric
@attribute avg_sent_lens numeric
@attribute third_person_prns numeric
@attribute conjs numeric
@attribute caps numeric
@attribute sec_person_prns numeric
@attribute adverbs numeric
@attribute ellipses numeric
@attribute cols_semicols numeric
@attribute future_verbs numeric
@attribute past_verbs numeric
@attribute dashes numeric
@attribute first_person_prns numeric
@attribute twit {nytimes_out.twt,TheOnion_out.twt,Reuters_out.twt,CBCNews_out.twt,torontostarnews_out.twt}

@data
0,4.63636363636,0,0,1,0,3,3,12.0,0,0,0,0,0,0,0,0,0,0,0,nytimes_out.twt
0,6.18181818182,0,0,1,0,3,2,13.0,0,0,0,0,0,1,1,0,0,0,0,nytimes_out.twt
0,4.80952380952,0,0,1,4,4,12,26.0,0,0,1,0,0,0,0,0,0,0,0,nytimes_out.twt
0,6.33333333333,0,0,1,0,2,3,7.0,0,0,0,0,0,0,0,0,0,0,0,nytimes_out.twt
0,3.0,0,0,1,0,0,1,4.0,0,0,0,0,0,0,0,0,0,0,0,nytimes_out.twt
0,4.5,0,0,2,1,4,6,9.0,0,0,0,0,0,1,1,0,0,0,0,nytimes_out.twt
0,5.18181818182,0,0,1,0,4,2,12.0,0,0,2,0,0,1,1,0,0,0,0,nytimes_out.twt
0,4.58333333333,0,0,1,0,4,2,14.0,0,0,0,0,0,1,1,0,0,0,0,nytimes_out.twt
0,4.88888888889,0,0,1,0,1,3,10.0,0,0,0,0,0,0,0,0,0,0,0,nytimes_out.twt
0,5.09090909091,0,0,1,0,7,3,13.0,0,0,1,0,0,1,1,0,0,0,0,nytimes_out.twt
0,5.88888888889,0,0,1,0,5,1,10.0,0,0,0,0,1,0,0,0,0,0,0,nytimes_out.twt
0,4.84615384615,0,0,1,0,6,1,15.0,0,0,0,0,0,1,1,0,0,0,0,nytimes_out.twt
0,4.14285714286,1,0,1,1,2,3,16.0,2,0,0,0,0,0,0,0,0,0,0,nytimes_out.twt
0,5.81818181818,0,0,1,1,8,1,15.0,0,0,1,0,0,2,1,0,0,0,0,nytimes_out.twt
